id 名字 等级 是否BOSS 怪物类型 地图 掉落
6230601 黑恐龙 68 0 1 105090311,105090312 1002208,1002242,1002247,1040091,1041097,1041101,1052122,1060080,1061096,1061100,1072172,1082076,1082098,1082109,1092017,1092047,1372015,1412008,1412027,1432007,1442010,1462040,1482022,2000002,2000004,2040001,2040024,2040401,2040625,2041001,2041004,2048012,2384015,4000030,4000186,4010003,4010005,4010006,4020007,4020008,4030012,4130007,4130015,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6230602 骷髅士官 63 0 7 101030108,101030109,101030110,101030111,101030112 1002084,1002246,1002248,1002269,1002285,1032011,1072306,1082010,1082065,1082082,1082085,1082096,1082098,1082103,1082106,1092011,1092047,1302011,1332017,1452045,1462019,1472023,1482009,2000002,2000004,2002000,2040328,2040417,2040423,2040804,2040928,2043802,2330002,2384003,4000207,4010000,4020003,4030012,4130000,4130010,4130016,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6300000 白雪人 65 0 0 211040100,211040101,211040200 1002022,1032011,1032019,1032020,1040099,1040104,1041078,1041089,1050045,1050068,1051047,1051062,1060088,1060092,1072157,1082060,1082107,1092046,1102022,1382007,1402039,1432006,1432007,1462008,1472024,1472025,1472026,2000006,2384009,4000021,4000049,4003005,4004000,4005004,4010000,4020007,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
6300005 僵尸蘑菇王 65 1 7 105070002 1032014,1092010,1092016,1102024,1302004,2011000,2040422,2043001,2043019,2043101,2043201,2043301,2043701,2043801,2044001,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2044801,2044901,2044902,2048001,2048004,2070006,2070007,2331000,2332000,2388008,4000176,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
6300100 时之鬼兵 74 0 6 220060100,220060200 1040098,1040106,1041093,1041098,1050082,1051065,1060087,1060094,1061092,1061097,1072139,1072149,1072158,1072172,1082097,1082108,1082109,1082122,1442008,1442030,1452010,1472027,1492010,1492021,2000001,2000004,2040421,2040825,2041013,2041022,2384032,4000130,4004001,4004004,4010006,4020003,4031170,4031171,4031175,4130003,4130004,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6400000 黑雪人 68 0 0 211040300,211040400,211040700 1002030,1002245,1002269,1002271,1002338,1032015,1040092,1041096,1041097,1050060,1051045,1060081,1061095,1061096,1061099,1072142,1072156,1072166,1082084,1082097,1302011,1302030,1442005,1472019,2000002,2000004,2041022,2384016,4000021,4000056,4003002,4003004,4004001,4004004,4010006,4020003,2022245,4031865,4031866 move,stand,skill1,attack1,hit1,die1
6400100 时之鬼将 77 0 6 220060100 1002252,1002268,1002282,1002289,1032022,1040106,1041099,1050061,1050077,1051046,1051058,1060094,1061098,1072149,1072173,1082098,1082116,1082207,1092017,1412008,1442008,1442030,1472029,2000002,2000004,2002005,2002008,2040321,2040534,2041013,2043114,2044001,2048011,2385003,4000131,4004004,4010006,4020003,4031170,4031171,4031175,4130000,4130002,4130003,4130013,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7090000 自动警备系统 75 1 0 261020401 1032020,1041102,1051054,1072309,1082107,1092016,1102023,1382039,1402015,1452014,1472027,1492022,2022130,2022191,2041014,2044601,2044809,2290087,2384038,4000411,2022245,4031865,4031866 move,stand,skill1,hit1,die1
7110300 D．洛伊 75 0 8 261020500 1002254,1002273,1002288,1002339,1040102,1041094,1041102,1041105,1050055,1050069,1051066,1060090,1061093,1061101,1061104,1082100,1082204,1092015,1322020,1332018,1402012,1472029,1472030,2000006,2040026,2040302,2040319,2043701,2044701,2330003,2384034,4000362,4004000,4006000,4010003,4020001,4031741,4130009,4130015,2022245,4031865,4031866 stand,move,attack1,attack2,skill1,hit1,die1
7110301 哈闷气球 73 0 8 261010102,261010103 1002029,1002094,1002248,1002253,1002275,1002289,1040105,1040108,1041079,1050063,1051041,1051044,1051053,1051062,1060093,1060097,1072145,1072147,1072150,1072177,1072210,1322018,1402012,1462019,1482010,2000004,2000006,2040025,2040026,2040621,2040622,2040933,2044601,2044801,2384031,4000361,4004003,4007000,4007001,4010004,4020006,4130004,4130005,4130007,2022245,4031865,4031866 move,stand,hit1,die1
7130000 黑色飞狮 73 0 0 200010300,200010301,200010302 1002029,1002094,1002248,1002253,1002275,1040105,1040108,1050063,1051041,1051044,1051053,1051062,1060093,1060097,1072145,1072147,1072150,1072177,1072210,1072312,1402012,1422014,1472032,2000004,2000006,2040419,2040427,2044601,2044901,2050004,2384030,4000074,4004003,4006001,4007007,4010004,4020006,4130008,4130010,4130011,4161021,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
7130001 猎犬 72 0 0 211042000,211042100,211042200 1002095,1002246,1032014,1032016,1041095,1041102,1050069,1050070,1051054,1061094,1061101,1072146,1072165,1082105,1082108,1312009,1332015,1372015,1372016,1402011,1412011,1422014,1492009,2000004,2000006,2040618,2041021,2044301,2050000,2384026,4000079,4010004,4020007,4130002,4130003,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130002 橡木甲虫 72 0 0 240010901,240011000 1002285,1002640,1040103,1060091,1072184,1082100,1092011,1302012,1332019,1382007,1442024,2000004,2000006,2040625,2040801,2040902,2044014,2330003,2384027,4000236,4004001,4006000,4010000,4020001,4030012,4032511,4130000,4130005,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7130003 金属甲虫 76 0 0 240010900,240010901 1002253,1002640,1051063,1072156,1082096,1092016,1372015,1412008,1422014,1432007,2000004,2000006,2040423,2041002,2044101,2070005,2385001,4000237,4004003,4006000,4010003,4020003,4030012,4032511,4130001,4130010,4130013,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7130004 变种侏儒怪 78 0 5 240010200,240010300 1002338,1032022,1050074,1072161,1072312,1082107,1102029,1322028,1402012,1432012,1452010,2000004,2000006,2041008,2044401,2330003,2385005,4000231,4004004,4006001,4010004,4020004,4032511,2022245,4031865,4031866 move,stand,chase,jump,attack1,skill1,hit1,die1
7130010 死灵 85 0 6 220070200 1002328,1041101,1050073,1050088,1051065,1051077,1051078,1051082,1061100,1072154,1072184,1072196,1072209,1082118,1082123,1082142,1082207,1102030,1302016,1332022,1372016,1412009,1452010,2000002,2000006,2002005,2020015,2040025,2040401,2040418,2040601,2040923,2040928,2041016,2044412,2050004,2385012,4000147,4004002,4006001,4020005,4020008,4031170,4031171,4031175,4130002,4130004,4130006,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130020 刺鳍鱼 85 0 0 230040400,230040000,230040100 1002287,1002323,1002329,1041101,1050093,1051078,1051095,1061100,1072152,1072164,1072194,1072312,1102032,1102035,1422012,1442030,1472023,2000002,2000006,2002003,2020015,2022040,2040324,2040421,2044701,2044901,2044902,2048001,2050004,2385013,4000179,4004003,4006001,4010001,4020008,4030012,4130010,4130013,2022245,4031865,4031866 fly,hit1,die1
7130100 月牙牛魔王 70 0 0 105090500,105090600,105090700,105090800 1002095,1002272,1002283,1002287,1002637,1040100,1041093,1050067,1051055,1051064,1060089,1061092,1072163,1072184,1082115,1082118,1102027,1322019,1382010,1422014,1452009,1472026,1472030,2000004,2000005,2000006,2040421,2043001,2043101,2044301,2044401,2070005,2384020,4000028,4006000,4010006,4031214,4031466,4130008,4130014,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130101 长枪牛魔王 75 0 0 105090700,105090800 1002095,1002284,1002327,1041091,1041103,1050077,1051047,1051055,1051056,1051063,1061090,1061102,1072167,1072211,1082100,1082104,1092015,1092016,1102028,1312008,1382010,1412008,1422010,1452011,1482009,2000005,2044101,2044114,2384036,4000046,4001112,4006001,4010003,4020008,4031215,4031466,4130008,4130012,4130014,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
7130102 企鹅王与白雪人 78 0 0 211040101,211040200 1002028,1002030,1002084,1002185,1002282,1032011,1041081,1050047,1050063,1050068,1050069,1050074,1051054,1051058,1061080,1072124,1072128,1072137,1082010,1082081,1082091,1092006,1102023,1332015,1402012,1422009,1432006,1442010,1452011,1472022,1472032,1492008,2000004,2000006,2040025,2040202,2040625,2041005,2041020,2041023,2043017,2043210,2043801,2044101,2044214,2044702,2044901,2070005,2070010,2385004,4000021,4000049,4000050,4003005,4004000,4004002,4010001,4010005,4020005,4020008,4130003,4130010,4130017,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130103 骷髅指挥官 73 0 7 101030108,101030109 1040092,1041092,1041095,1050061,1051054,1051063,1060081,1061091,1061094,1072172,1072177,1072182,1072210,1082207,1092023,1452022,2000004,2000006,2002003,2002004,2040301,2040418,2040516,2040804,2384029,4000208,4006001,4010000,4020000,4020001,4020002,4020007,4130001,4130004,4130012,2022245,4031865,4031866 move,stand,skill1,hit1,die1
7130104 凯丁 70 0 6 251010401,251010402,251010403 1002095,1032020,1051054,1072163,1082110,1082204,1102023,1332018,1422010,1422014,1472028,2000002,2000004,2000006,2040002,2040414,2040427,2040705,2040824,2384025,4000297,4004000,4006001,4007002,4010001,4020000,4031435,4031436,4130000,4130017,4130020,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130200 狼人 75 0 0 211040500,211040600 1002254,1002273,1002288,1002339,1040102,1041094,1041102,1041105,1050055,1050069,1051066,1060090,1061093,1061101,1061104,1072309,1082100,1092015,1322020,1332018,1332025,1402012,1472029,1472030,2000004,2000006,2040031,2040302,2043701,2044701,2070004,2384035,4000021,4000053,4003004,4004000,4006000,4010003,4020001,4130006,4130009,4130014,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7130300 死灵王 89 0 6 220070201 1002253,1002274,1002276,1002284,1041107,1041121,1050074,1050080,1051068,1061104,1061106,1061120,1072155,1072166,1072167,1072203,1072206,1072212,1072312,1082110,1082123,1082143,1302018,1382009,2000004,2000005,2002004,2040031,2040823,2041009,2043210,2044301,2385020,4000148,4006001,4010006,4020006,4031170,4031171,4031175,4130000,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130400 黄色鬼怪 70 1 6 222010401 1040102,1041094,1050058,1060090,1061093,1072309,1092016,1102021,1462009,1472024,2000004,2000006,2002003,2040302,2040504,2384021,4004003,4005001,4006001,4010001,4020001,4031232,4130002,4130005,4130015,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130401 蓝色鬼怪 70 1 6 222010401 1032022,1040106,1051041,1060094,1072158,1072163,1412008,1422009,1442010,1452010,1482009,2000004,2000006,2002000,2040601,2040620,2040701,2044012,2070007,2384022,4004002,4006001,4010004,4010006,4020000,4031233,4130006,4130015,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130402 绿色鬼怪 70 1 6 222010401 1002637,1032019,1032022,1041092,1041101,1061091,1061100,1072155,1082090,1402012,1422005,1492022,2000004,2000006,2002006,2040024,2040534,2041007,2043001,2043112,2070007,2330003,2384023,4004001,4006000,4010006,4020006,4030012,4031234,4130017,2022245,4031865,4031866 move,stand,hit1,die1,skill1,attack1
7130500 莱西 70 0 5 240010000,240010100,240010101 1002095,1032020,1051054,1052122,1072163,1082110,1092016,1102023,1332018,1332025,1422010,1472028,1492022,2000004,2000006,2040002,2040326,2040623,2040705,2040824,2384024,4000226,4000227,4000228,4004000,4006001,4010001,4020000,4032511,4130007,4130011,4130015,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7130501 黑暗莱西 74 0 5 240010000,240010100,240010101 1002276,1041103,1052122,1061102,1072178,1082105,1092016,1102027,1302018,1472027,1482021,2000004,2000006,2040321,2040505,2040515,2040625,2043002,2070005,2384033,4000229,4000230,4004002,4006001,4010002,4020002,4031412,4032511,4130008,4130010,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7130600 侏儒怪 72 0 5 240010100,240010200 1002287,1051062,1072211,1082119,1332019,1382012,1452009,2000004,2000006,2040512,2041008,2044010,2044101,2384028,4000260,4004002,4006001,4010000,4010001,4032511,4130001,4130005,4130017,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7130601 邪恶侏儒怪 76 0 5 240010100,240010300 1002252,1040106,1052125,1060094,1072212,1082125,1322019,1412011,1462009,2000004,2000006,2040927,2040928,2043701,2044602,2044802,2048013,2385002,4000261,4004003,4006000,4020001,4020007,4032511,4130003,4130011,4130016,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
7140000 蓝帽海贼 83 0 6 220060200 1002094,1002273,1002277,1002287,1002338,1002640,1040107,1040108,1050082,1050089,1060095,1060097,1072182,1072192,1072207,1082114,1082118,1082128,1092025,1432010,1462011,1462019,2000006,2040502,2040924,2041001,2043015,2385010,4000132,4004001,4006000,4007002,4010002,4020002,4031170,4031171,4031175,4130001,4130005,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7160000 绿帽海贼 87 0 6 220060201 1002272,1002330,1032016,1040107,1040115,1041105,1041115,1050070,1050075,1051055,1051057,1051066,1051077,1060095,1060104,1061104,1061114,1072173,1072197,1082103,1082109,1082116,1082121,1082125,1082131,1452011,1482021,1492010,2000002,2000006,2040619,2041016,2044401,2070005,2330003,2385015,4000133,4001110,4004000,4006001,4007001,4010003,4020008,4031171,4130003,4130004,4130007,4130011,4131007,2022245,4031865,4031866 move,stand,attack1,hit1,die1
7220000 肯德熊 71 1 0 250010304 1032021,1302012,1312010,1322019,1332018,1372015,1382010,1402012,1412008,1422010,1432007,1442008,1452011,1462009,1472029,1482009,1492009,2000002,2000003,2002004,2002011,2022142,2040004,2040005,2040025,2040514,2040705,2040805,2040825,2040901,2041001,2041010,2041022,2043019,2043101,2043301,2043801,2044014,2044101,2044312,2044412,2044501,2044601,2044801,2048005,2060001,2061001,2070004,2388010,4000021,4000283,4000284,4000285,4004000,4010001,4010004,4020006,2022245,4031865,4031866 move,stand,attack1,attack2,skill1,hit1,die1
7220001 九尾狐 70 1 0 222010310 1002095,1002254,1002285,1002289,1002637,1040103,1040107,1041099,1041100,1050064,1050070,1051055,1051065,1052122,1072154,1072156,1072160,1072161,1072167,1072309,1082097,1082100,1082105,1082108,1082204,2000002,2000003,2002000,2002002,2040025,2040301,2040427,2040501,2040513,2040602,2040625,2040701,2040702,2040804,2040902,2040933,2041010,2041016,2041017,2043017,2043301,2043702,2043801,2044501,2044702,2044802,2044901,2044902,2060001,2061001,2070005,2388009,4000021,4000172,4004002,4010004,4020004,4031793,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,hit1,die1
7220002 妖怪禅师 77 1 0 250010503,250010504 1302018,1312011,1322028,1332023,1372016,1382008,1402004,1412009,1422012,1432010,1442019,1452015,1462013,1472031,1482010,1492010,2000002,2000003,2002002,2002003,2022149,2040004,2040402,2040504,2040514,2040601,2040619,2040621,2040701,2040702,2040707,2040801,2041005,2041010,2043101,2044001,2044302,2044414,2044601,2044902,2060001,2061001,2388013,4000289,4000298,4003005,4004004,4010005,4020008,4031789,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8090000 迪特和罗伊 80 1 8 261010102 1002327,1032020,1040104,1050077,1072207,1082210,1102023,1332023,1382008,1412009,1462012,1482011,2022130,2022191,2041014,2044601,2044809,2290045,2385023,4000418,2022245,4031865,4031866 move,stand,skill1,hit1,die1
8110300 变态哈闷 80 0 8 261010102 1002288,1040107,1060095,1072158,1082114,1102031,1312010,1442008,1442024,1452011,2000002,2000005,2000006,2041005,2044602,2044807,2044902,2070005,2385008,4000355,4004000,4006000,4010005,4020005,4031737,4031740,4130012,4130013,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8130100 蝙蝠怪 80 1 6 105090900 1092009,1092016,1302012,1312010,1322019,1332018,1332019,1382007,1402012,1412008,1422010,1432007,1442008,1452009,1462009,1472026,1482009,1492009,2000004,2000005,2000006,2040419,2040622,2043001,2043101,2043201,2043301,2043701,2043801,2044001,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2044801,2044901,2070007,2388026,4021008,4030012,4031466,4031475,2022245,4031865,4031866 move,stand,attack1,attack2,attack3,hit1,die1
8140000 白狼人 80 0 0 211040800,211040900,211041000 1002271,1002275,1002285,1032023,1040104,1050064,1050092,1051053,1051082,1060092,1072172,1072178,1072193,1072210,1082129,1102029,1322020,1402004,1442008,1452022,1472028,1482010,2040825,2040902,2040933,2044010,2070006,2385006,4000054,4003005,4004001,4006001,4010001,4010003,4020006,4020008,4031460,4031477,4032475,4130007,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8140001 哈维 80 0 2 240010600,240010700,240010800 1002288,1040107,1060095,1072158,1082114,1102031,1312010,1442008,1452011,1492010,2000002,2000005,2000006,2040318,2040824,2040825,2041005,2044310,2044602,2044805,2070005,2385007,4000238,4004000,4006000,4010005,4020005,4032511,4130004,4130015,4130016,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8140002 血腥哈维 83 0 2 240010600,240010700 1002339,1032022,1051057,1052125,1072173,1082112,1102030,1382010,1462012,1472029,1472032,2000002,2000005,2000006,2040026,2040316,2040707,2043015,2043301,2070005,2330003,2385011,4000239,4000240,4004001,4006001,4010006,4020007,4032511,4130000,4130002,4130010,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8140100 企鹅王与黑雪人 82 0 0 211040700 1002217,1002267,1002283,1032013,1032020,1040100,1041092,1050055,1051030,1051031,1051034,1060089,1061091,1072127,1072131,1072152,1082095,1082099,1092009,1102021,1302011,1302012,1302018,1332019,1412003,1412007,1422009,1462009,1472022,1492009,2000004,2000006,2040318,2040328,2040512,2040619,2040927,2043801,2044001,2044012,2044802,2070004,2385009,4000056,4000057,4003004,4004001,4004003,4004004,4006000,4010001,4010003,4020002,4020007,4130002,4130003,4130004,4130009,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8140101 暗黑半人马 88 0 5 240020100,240020101,240020200,240020300,240020501 1002328,1002640,1032023,1040109,1060098,1072179,1082117,1082122,1092026,1312030,1382008,1402035,1452014,1472053,2000002,2000005,2000006,2040825,2040901,2048004,2385016,4000234,4004003,4006001,4007001,4010003,4020001,4031465,4031487,4032511,4130001,4130007,2022245,4031865,4031866 move,chase,stand,attack1,attack2,hit1,die1
8140102 火焰半人马 88 0 5 240020000,240020100,240020101,240020500,240020501 1002274,1002643,1032022,1051068,1072211,1082118,1092023,1332023,1382035,1402004,1422027,1432004,1452019,2000002,2000005,2000006,2040321,2040622,2040703,2040805,2044807,2331000,2385017,4000232,4004004,4006000,4010001,4020000,4030012,4031465,4031487,4032511,4130000,4130002,4130013,4161015,2022245,4031865,4031866 move,chase,stand,attack1,attack2,hit1,die1
8140103 寒冰半人马 88 0 5 240020300,240020400,240020401,240020500,240020501 1002277,1041106,1061105,1072177,1082116,1102032,1322045,1332051,1412009,1412021,1432011,1442019,1452013,1492010,2000002,2000005,2000006,2040004,2040107,2043701,2044314,2290044,2331000,2332000,2385018,4000233,4004002,4006000,4010000,4020001,4031465,4031487,4032511,4130005,4130011,4130017,4161016,2022245,4031865,4031866 move,chase,stand,attack1,attack2,hit1,die1
8140110 邪恶绵羊 85 0 0 240010400,240010500,240010800 1002330,1050083,1072185,1082119,1092027,1302056,1332052,1372010,1432010,1452015,1462013,1482010,1492021,2000002,2000005,2000006,2043802,2044702,2044801,2385014,4000241,4004002,4006000,4007001,4007003,4010006,4020008,4030012,4032511,2022245,4031865,4031866 move,stand,chase,attack1,skill1,hit1,die1
8140111 恶魔绵羊 88 0 0 240010400,240010500 1002328,1032023,1051080,1072183,1082106,1082122,1092025,1372016,1432030,1442044,1462015,1472031,1482010,2000002,2000005,2000006,2040323,2041014,2043214,2044001,2070006,2330003,2385019,4000242,4004002,4004003,4006001,4010003,4020003,4030012,4031413,4032511,4130001,4130007,4130012,2022245,4031865,4031866 move,stand,chase,attack1,attack2,skill1,hit1,die1
8140200 大立钟 70 0 6 220070100 1002270,1032015,1032022,1040093,1050054,1050058,1050073,1051052,1051062,1060079,1060082,1072144,1072159,1072162,1072182,1082059,1082104,1082114,1322019,1382012,1472022,1482009,2000004,2000006,2002003,2020014,2040302,2040318,2040802,2040925,2384019,4000145,4004003,4006000,4006001,4010001,4020001,4031170,4031171,4031175,4130000,4130014,4130016,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8140300 高级大立钟 76 0 6 220070100 1002252,1002277,1002288,1002289,1002340,1040090,1040107,1040109,1041096,1041099,1051043,1051055,1051057,1060079,1060095,1060098,1061095,1061098,1072160,1322020,1382010,1472027,1492009,2000004,2000006,2040513,2040622,2040623,2043110,2044602,2070005,2385000,4000146,4004004,4006000,4010005,4020007,4031170,4031171,4031175,4130016,4130017,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8140500 火焰猎犬 90 0 0 211042200,800020400 1002340,1032017,1040109,1040115,1050070,1050078,1052125,1060098,1060104,1072156,1072164,1072174,1072195,1072208,1082096,1082111,1082117,1082121,1082126,1092024,1312011,1332016,1332025,1332026,1452014,2000005,2000006,2040207,2041022,2044001,2070004,2385021,4000080,4003005,4004000,4007001,4007007,4020001,4020007,4130006,4130014,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8140600 骨骸鱼 92 0 7 230040000 1002324,1032017,1040109,1040111,1052128,1060098,1060100,1072160,1072194,1072205,1082108,1082117,1102030,1442026,1452013,1462008,1472023,1472028,2000005,2000006,2020013,2020015,2040102,2040401,2040501,2040513,2040929,2386000,4000182,4004000,4006001,4020001,4020007,4031251,4031256,4130010,4130015,4130016,2022245,4031865,4031866 stand,move,attack1,skill1,hit1,die1
8140700 蓝海龟龙 90 0 1 240030000,240030100 1002528,1040117,1041120,1060106,1061119,1072204,1082134,1082207,1372009,1472033,2000005,2000006,2040515,2041022,2043801,2044314,2044805,2044902,2290106,2385022,4000244,4000245,4000262,4004000,4020001,4020007,4031871,4130007,4130012,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8140701 红海龟龙 93 0 1 240030000,240030100,240030103 1002365,1040111,1050094,1051096,1060100,1072197,1082144,1082210,1302023,1332027,2000005,2000006,2040925,2044101,2044601,2290122,2386001,4000244,4000245,4000263,4004001,4010001,4020005,4031872,4130003,4130008,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8140702 犀牛龙 95 0 1 240030200 1002325,1002403,1041117,1050092,1050106,1060106,1061116,1072206,1082139,1312015,1452017,1492011,2000005,2000006,2040402,2040602,2040621,2043015,2044701,2290112,2386005,4000244,4000245,4000264,4004002,4020003,4020008,4130004,4130005,4130015,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8140703 犀牛龙怪 97 0 1 240030300 1002325,1002643,1040120,1040122,1050090,1051082,1060109,1060111,1072212,1082151,1082159,1322029,1442020,2000005,2000006,2040602,2040901,2043801,2044801,2290088,2290099,2386006,4000244,4000245,4000265,4004003,4020006,4020008,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8141000 大海贼 93 0 6 220060300 1002254,1002278,1002285,1002327,1040112,1040117,1041106,1041117,1050072,1050074,1050076,1050083,1051063,1051068,1051079,1060101,1060106,1061105,1061116,1072315,1082115,1082132,1322028,1422010,2000002,2000006,2040317,2040318,2040929,2044602,2044802,2044809,2070006,2290082,2290097,2386002,4000134,4004000,4007002,4010001,4020008,4031170,4031171,4031175,4031193,4031873,4130013,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8141100 大海贼王 98 0 6 220060301 1002329,1041116,1050077,1050081,1050093,1051058,1051080,1051083,1060105,1061115,1072165,1072185,1082105,1082119,1082134,1402015,1462012,2000005,2000006,2040025,2040031,2040418,2040427,2040902,2043002,2386009,4000135,4004004,4006001,4020008,4031170,4031171,4031175,4031176,4031177,4031178,4031874,4130000,4130010,4130011,4130016,4131003,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8141300 乌贼怪 94 0 3 230040200,230040300 1002271,1002365,1032020,1041119,1050089,1050093,1051083,1061118,1072183,1072207,1072224,1092027,1102026,1432007,1442008,1442026,1452011,1482011,2000002,2000005,2000006,2002001,2020013,2020015,2040512,2040601,2040618,2040627,2040701,2290098,2386003,4000183,4004004,4006000,4007001,4010006,4020006,4130006,4130008,4130014,2022245,4031865,4031866 stand,move,skill1,attack1,hit1,die1
8142000 时之鬼爵 95 0 6 220070300 1002339,1040110,1040111,1050076,1050091,1050094,1051056,1051067,1051078,1051096,1060099,1060100,1072212,1082107,1082112,1082116,1082133,1332023,1432007,1442010,1452013,1492011,2000002,2000005,2002001,2020015,2040427,2041022,2044001,2386004,4000149,4004004,4006000,4020003,4031170,4031171,4031175,4130003,4130009,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8142100 致命乌贼怪 97 0 3 230040300 1002325,1032017,1040110,1040118,1041118,1050090,1050095,1051084,1051097,1060099,1060107,1061117,1072197,1072220,1092025,1092026,1092028,1412009,1422010,2000005,2000006,2040205,2040318,2040801,2040804,2043019,2290032,2290082,2290114,2386007,4000184,4004001,4006000,4006001,4007000,4007006,4007007,4010004,4020004,4130000,4130001,4130009,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8143000 时之鬼王 99 0 6 220070301 1002283,1002328,1002402,1040116,1041119,1050064,1050090,1050092,1051084,1051094,1060105,1061118,1072179,1072183,1072212,1082117,1082120,1082122,1082130,1092016,1422012,1462010,2000002,2000005,2002002,2022003,2040401,2043019,2044702,2386010,4000150,4001107,4006001,4007002,4010001,4010002,4031170,4031171,4031175,4031176,4031177,4031178,4130011,4130016,4130017,2022245,4031865,4031866 move,stand,attack1,hit1,die1
8150000 蝙蝠魔 100 1 0 200090010 2040002,2040005,2040029,2040302,2040402,2040425,2040502,2040505,2040602,2040702,2040705,2040708,2040802,2040805,2040902,2043002,2043102,2043202,2043212,2043302,2043702,2043802,2044002,2044012,2044102,2044202,2044212,2044302,2044402,2044502,2044602,2044702,2044802,2044902,2070007,2290070,2290091,2388017,4001111,4030012,4031865,4031866,4031906,4033001,2022245 fly,stand,attack1,attack2,hit1,die1
8150100 鲨鱼 100 0 3 230040400 1002366,1002405,1032017,1040112,1052131,1060101,1072192,1072204,1072214,1072315,1082135,1082142,1322028,1332022,2000005,2000006,2020013,2022003,2040901,2041001,2041013,2044902,2290042,2290053,2290073,2290102,2290118,2386012,4000180,4004002,4006000,4006001,4010005,4030012,4031252,4031254,4031255,4130004,4130006,4130007,4130019,4161018,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8150101 尖鼻鲨鱼 102 0 3 230040400 1002326,1002365,1002403,1032023,1040117,1060106,1072193,1072203,1072213,1072223,1072318,1082136,1082143,1302018,1312011,2000005,2000006,2020013,2022003,2040301,2040420,2040931,2041022,2043001,2290017,2290021,2290035,2290042,2290052,2290102,2386014,4000181,4006000,4006001,4010002,4020007,4031252,4031254,4031255,4130006,4130009,4130010,4130012,4130013,4161018,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8150200 邪恶短刃蜥蜴 100 0 1 240030100,240030101,240030102,240030103,240030104,240030200 1002529,1002646,1050102,1051092,1051105,1072194,1082135,1082210,1092026,1402005,1462018,2000005,2000006,2020015,2022003,2040001,2040302,2040425,2043301,2290024,2290100,2386011,4000244,4000245,4000266,4001075,4001079,4001103,4004004,4007000,4007007,4010002,4010005,4130005,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8150201 邪恶双刀蜥蜴 105 0 1 240030100,240030101,240030102,240030104,240030300 1002530,1041122,1050098,1051101,1061121,1072208,1082136,1082158,1092027,1382035,1402016,1492012,2000005,2000006,2020013,2022003,2040001,2040302,2040501,2040618,2044012,2044210,2044802,2290004,2290006,2290024,2290036,2290056,2290072,2290078,2290117,2386016,4000244,4000245,4000267,4001075,4001079,4001103,4004004,4007003,4010001,4020002,4031414,4130002,4130015,4130017,2022245,4031865,4031866 move,stand,attack1,attack2,skill1,hit1,die1
